Log,Model
initialize,initialize
>>,invis
begin editing,>>
finish pre-check,>>
create,>>
save,save
calculate,>>
calculate,>>
calculate,>>
insert document,insert document
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
>>,invis
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,invis
calculate,calculate
>>,invis
>>,invis
>>,invis
begin editing,begin editing
>>,invis
>>,calculate
save,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
calculate,calculate
>>,invis
>>,invis
>>,invis
begin editing,begin editing
>>,invis
>>,calculate
save,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
calculate,calculate
>>,invis
>>,invis
>>,invis
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
