Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,begin editing
>>,invis
>>,calculate
>>,invis
>>,invis
>>,invis
create,create
>>,invis
>>,invis
>>,begin editing
>>,invis
calculate,calculate
>>,invis
>>,invis
>>,invis
finish pre-check,finish pre-check
>>,calculate
>>,invis
>>,invis
>>,invis
finish pre-check,finish pre-check
>>,calculate
>>,invis
>>,invis
>>,invis
finish pre-check,finish pre-check
>>,calculate
>>,invis
>>,invis
>>,invis
finish pre-check,finish pre-check
>>,calculate
>>,invis
>>,invis
>>,invis
finish pre-check,finish pre-check
>>,calculate
>>,invis
>>,invis
>>,invis
finish pre-check,finish pre-check
>>,calculate
>>,invis
>>,invis
>>,invis
finish pre-check,finish pre-check
calculate,calculate
>>,invis
>>,invis
>>,invis
>>,invis
discard,>>
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
