Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,begin editing
finish pre-check,finish pre-check
>>,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,calculate
finish editing,finish editing
>>,invis
>>,invis
create,create
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
>>,invis
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
>>,invis
>>,invis
>>,invis
>>,invis
save,>>
calculate,calculate
>>,invis
>>,invis
>>,invis
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
