Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,begin editing
finish pre-check,finish pre-check
>>,calculate
>>,invis
>>,invis
>>,invis
create,create
>>,invis
>>,invis
>>,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,invis
insert document,>>
save,>>
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,invis
save,>>
calculate,calculate
>>,invis
>>,invis
>>,invis
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
save,>>
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
