Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,begin editing
>>,invis
>>,calculate
>>,invis
>>,invis
>>,invis
create,create
clear,clear
>>,invis
create,create
clear,clear
>>,invis
create,create
>>,invis
>>,invis
>>,begin editing
save,>>
save,>>
save,>>
save,>>
finish pre-check,finish pre-check
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,invis
insert document,>>
save,>>
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
save,>>
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
begin editing,begin editing
>>,invis
calculate,calculate
finish editing,finish editing
>>,invis
