Log,Model
initialize,initialize
begin editing,begin editing
>>,[invisible]
>>,invis
>>,[invisible]
>>,invis
finish pre-check,>>
create,>>
save,save
calculate,>>
calculate,>>
calculate,>>
insert document,insert document
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
calculate,>>
begin editing,>>
save,save
finish editing,finish editing
>>,invis
>>,invis
calculate,>>
begin editing,>>
save,save
finish editing,finish editing
>>,invis
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,[invisible]
