Log,Model
initialize,initialize
begin editing,begin editing
>>,[invisible]
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,[invisible]
>>,invis
>>,invis
finish editing,finish editing
create,>>
begin editing,>>
begin editing,>>
create,>>
create,>>
save,save
>>,invis
save,save
>>,invis
>>,invis
calculate,>>
finish pre-check,>>
save,save
>>,invis
finish pre-check,>>
save,save
>>,invis
save,save
finish pre-check,>>
finish editing,finish editing
begin editing,>>
begin editing,>>
insert document,insert document
>>,invis
save,save
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,[invisible]
