Log,Model
initialize,initialize
begin editing,begin editing
>>,[invisible]
>>,invis
finish pre-check,>>
create,>>
insert document,insert document
>>,[invisible]
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,[invisible]
