Log,Model
initialize,initialize
begin editing,begin editing
>>,[invisible]
>>,invis
>>,[invisible]
>>,invis
finish pre-check,>>
create,>>
save,save
insert document,insert document
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,[invisible]
