Log,Model
initialize,initialize
begin editing,begin editing
>>,[invisible]
>>,invis
>>,[invisible]
>>,invis
>>,invis
create,>>
save,save
calculate,>>
finish pre-check,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
begin editing,>>
save,save
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,[invisible]
