Log,Model
initialize,initialize
begin editing,begin editing
>>,[invisible]
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,[invisible]
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
begin editing,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
finish editing,finish editing
begin editing,>>
insert document,insert document
>>,invis
calculate,>>
finish editing,finish editing
save,save
>>,invis
>>,invis
finish editing,finish editing
save,save
>>,invis
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
begin editing,>>
calculate,>>
save,save
>>,invis
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,[invisible]
