Log,Model
initialize,initialize
begin editing,begin editing
>>,[invisible]
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,[invisible]
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
begin editing,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
create,>>
clear,>>
begin editing,>>
begin editing,>>
finish pre-check,>>
finish editing,finish editing
create,>>
begin editing,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
save,save
>>,invis
>>,invis
calculate,>>
calculate,>>
begin editing,>>
calculate,>>
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,[invisible]
