Log,Model
initialize,initialize
begin editing,>>
finish pre-check,>>
create,>>
begin editing,>>
finish pre-check,>>
create,>>
begin editing,begin editing
>>,[invisible]
>>,invis
insert document,insert document
calculate,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,[invisible]
>>,invis
begin editing,>>
begin editing,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish pre-check,>>
calculate,>>
finish pre-check,>>
finish pre-check,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
calculate,>>
save,save
calculate,>>
calculate,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
begin editing,>>
save,save
calculate,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,[invisible]
