Log,Model
initialize,initialize
begin editing,begin editing
>>,[invisible]
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,[invisible]
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
clear,>>
begin editing,>>
begin editing,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
create,>>
clear,>>
begin editing,>>
begin editing,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
create,>>
clear,>>
begin editing,>>
begin editing,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
create,>>
clear,>>
begin editing,>>
begin editing,>>
finish pre-check,>>
finish editing,finish editing
create,>>
begin editing,>>
save,save
>>,invis
finish editing,finish editing
>>,invis
finish editing,finish editing
>>,invis
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
finish editing,finish editing
begin editing,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
begin editing,>>
calculate,>>
begin editing,>>
insert document,insert document
>>,invis
>>,invis
save,save
finish editing,finish editing
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
save,save
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,[invisible]
