Log,Model
initialize,initialize
begin editing,begin editing
>>,[invisible]
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,[invisible]
>>,invis
>>,invis
finish editing,finish editing
>>,invis
>>,invis
create,>>
begin editing,>>
save,save
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,[invisible]
