Log,Model
initialize,initialize
begin editing,begin editing
>>,[invisible]
>>,invis
>>,[invisible]
>>,invis
>>,invis
create,>>
clear,>>
create,>>
clear,>>
create,>>
calculate,>>
finish pre-check,>>
save,save
calculate,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,[invisible]
