Log,Model
initialize,initialize
begin editing,begin editing
>>,[invisible]
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,[invisible]
>>,invis
>>,invis
finish editing,finish editing
>>,invis
create,>>
clear,>>
begin editing,>>
begin editing,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
create,>>
clear,>>
begin editing,>>
begin editing,>>
finish pre-check,>>
finish editing,finish editing
>>,invis
create,>>
begin editing,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
calculate,>>
finish editing,finish editing
calculate,>>
begin editing,>>
insert document,insert document
save,save
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
calculate,>>
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
calculate,>>
begin editing,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
calculate,>>
begin editing,>>
save,save
>>,invis
>>,invis
calculate,>>
calculate,>>
save,save
>>,invis
calculate,>>
save,save
calculate,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,[invisible]
