Log,Model
>>,invis
plan,plan
initialize,initialize
>>,invis
save,>>
save,save
>>,invis
save,>>
save,>>
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
abort external,abort external
>>,invis
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
abort external,abort external
>>,invis
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
>>,invis
>>,invis
>>,invis
>>,finish preparations
abort external,abort external
prepare external,prepare external
begin preparations,begin preparations
>>,invis
>>,invis
finish preparations,finish preparations
abort external,abort external
prepare external,prepare external
begin preparations,begin preparations
>>,invis
>>,invis
finish preparations,finish preparations
>>,begin preparations
>>,prepare external
abort external,abort external
>>,invis
>>,invis
finish preparations,finish preparations
prepare external,prepare external
begin preparations,begin preparations
>>,invis
>>,invis
>>,invis
save,>>
save,save
performed,performed
finish editing,>>
begin editing,>>
save,>>
finish editing,>>
begin editing,>>
save,>>
finish editing,finish editing
