Log,Model
>>,invis
initialize,initialize
plan,plan
>>,invis
save,>>
save,save
>>,invis
save,>>
save,>>
save,>>
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
abort external,abort external
>>,invis
>>,invis
>>,finish preparations
>>,begin preparations
prepare external,prepare external
>>,invis
>>,invis
>>,invis
finish preparations,finish preparations
>>,prepare external
begin preparations,begin preparations
abort external,abort external
>>,invis
>>,invis
finish preparations,finish preparations
begin preparations,begin preparations
prepare external,prepare external
abort external,abort external
>>,invis
>>,invis
>>,finish preparations
prepare external,prepare external
begin preparations,begin preparations
>>,invis
>>,invis
>>,invis
finish preparations,finish preparations
abort external,abort external
prepare external,prepare external
begin preparations,begin preparations
>>,invis
>>,invis
finish preparations,finish preparations
>>,prepare external
abort external,abort external
begin preparations,begin preparations
>>,invis
>>,invis
finish preparations,finish preparations
>>,begin preparations
prepare external,prepare external
>>,invis
>>,invis
>>,invis
save,>>
save,save
performed,performed
finish editing,>>
begin editing,>>
save,>>
finish editing,finish editing
