Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
create,create
>>,invis
finish editing,>>
begin editing,>>
insert document,>>
save,save
calculate,calculate
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
finish editing,>>
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
finish editing,>>
restart editing,>>
save,save
>>,invis
finish editing,>>
restart editing,>>
save,save
finish editing,finish editing
>>,invis
>>,invis
>>,invis
