Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
create,>>
calculate,>>
finish editing,>>
begin editing,begin editing
create,create
>>,invis
save,save
>>,invis
calculate,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
restart editing,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
save,save
calculate,calculate
>>,invis
finish editing,>>
save,save
>>,invis
>>,invis
>>,invis
calculate,>>
finish editing,>>
