Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,create
begin editing,begin editing
>>,invis
save,save
>>,invis
calculate,>>
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
finish editing,>>
begin editing,>>
insert document,>>
save,save
>>,invis
save,save
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,invis
