Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,create
>>,invis
begin editing,>>
save,save
>>,invis
insert document,>>
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
calculate,calculate
>>,invis
finish editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
>>,invis
>>,invis
calculate,>>
calculate,>>
finish editing,>>
