Log,Model
initialize,initialize
>>,invis
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
create,>>
create,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
insert document,>>
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
calculate,>>
finish editing,>>
begin editing,>>
create,create
finish editing,finish editing
>>,invis
save,save
calculate,calculate
>>,invis
finish editing,>>
save,save
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
>>,invis
>>,invis
calculate,>>
finish editing,>>
