Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,>>
create,create
>>,invis
calculate,>>
save,save
>>,invis
save,save
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
insert document,>>
calculate,>>
finish editing,>>
save,save
calculate,calculate
>>,invis
finish editing,>>
restart editing,>>
restart editing,>>
save,save
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
