Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
create,>>
calculate,>>
create,create
calculate,calculate
>>,invis
finish editing,>>
finish editing,>>
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
finish editing,>>
begin editing,begin editing
>>,invis
save,save
finish editing,finish editing
>>,invis
>>,invis
>>,invis
