Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
create,create
>>,invis
calculate,>>
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
finish editing,>>
begin editing,>>
insert document,>>
save,save
>>,invis
calculate,>>
finish editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
restart editing,>>
save,save
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,invis
