Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
create,create
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
finish editing,>>
calculate,>>
finish editing,>>
calculate,>>
finish editing,>>
calculate,>>
finish editing,>>
finish editing,>>
calculate,>>
finish editing,finish editing
>>,invis
save,save
calculate,calculate
>>,invis
>>,invis
>>,invis
finish editing,>>
