Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,>>
create,>>
create,create
>>,invis
calculate,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
calculate,calculate
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
finish editing,>>
restart editing,>>
save,save
finish editing,finish editing
>>,invis
save,save
>>,invis
>>,invis
>>,invis
finish editing,>>
