Log,Model
initialize,initialize
>>,invis
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
save,save
>>,invis
insert document,>>
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
save,save
clear,>>
create,create
>>,invis
save,save
calculate,calculate
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
save,save
>>,invis
>>,invis
>>,invis
calculate,>>
finish editing,>>
