Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,>>
create,>>
create,create
>>,invis
save,save
>>,invis
calculate,>>
save,save
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
calculate,>>
finish editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
restart editing,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish editing,>>
restart editing,>>
insert document,>>
save,save
calculate,calculate
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
