Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,>>
create,create
>>,invis
calculate,>>
calculate,>>
calculate,>>
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
restart editing,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish editing,>>
insert document,>>
save,save
>>,invis
finish editing,>>
save,save
>>,invis
finish editing,>>
calculate,>>
finish pre-check,>>
finish editing,>>
calculate,calculate
finish pre-check,>>
restart editing,>>
save,save
>>,invis
finish pre-check,>>
finish editing,>>
restart editing,>>
save,save
finish editing,finish editing
>>,invis
>>,invis
>>,invis
