Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,>>
create,create
calculate,calculate
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
finish editing,>>
save,save
>>,invis
insert document,>>
save,save
finish editing,finish editing
>>,invis
save,save
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
>>,invis
>>,invis
finish editing,>>
