Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
create,create
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
finish editing,>>
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
insert document,>>
save,save
calculate,>>
finish editing,>>
finish editing,finish editing
>>,invis
save,save
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
save,save
calculate,>>
calculate,calculate
>>,invis
>>,invis
>>,invis
finish editing,>>
