Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,create
>>,invis
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,calculate
>>,invis
save,save
finish editing,finish editing
>>,invis
>>,invis
>>,invis
