Log,Model
initialize,initialize
>>,invis
>>,restart editing
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
insert document,insert document
>>,invis
>>,invis
>>,invis
>>,invis
save,save
>>,invis
save,save
calculate,>>
calculate,calculate
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,>>
finish editing,>>
clear,>>
begin editing,>>
create,create
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
