Log,Model
initialize,initialize
>>,invis
>>,invis
>>,invis
begin editing,>>
create,>>
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
save,save
calculate,calculate
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
finish editing,>>
begin editing,>>
create,create
finish editing,finish editing
>>,invis
save,save
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
>>,invis
>>,invis
finish editing,>>
