Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,create
begin editing,>>
finish editing,finish editing
>>,invis
save,save
finish editing,>>
begin editing,>>
calculate,calculate
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
finish editing,>>
begin editing,>>
finish editing,>>
begin editing,>>
finish editing,>>
begin editing,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
finish editing,>>
finish editing,>>
save,save
>>,invis
>>,invis
>>,invis
finish editing,>>
begin editing,>>
finish editing,>>
