Log,Model
initialize,initialize
>>,invis
>>,invis
>>,invis
begin editing,>>
create,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
finish editing,>>
calculate,>>
finish editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
insert document,>>
save,save
begin editing,>>
create,create
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,invis
