Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,create
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
calculate,>>
finish editing,>>
calculate,>>
finish editing,>>
calculate,calculate
>>,invis
finish editing,>>
finish editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
save,save
>>,invis
>>,invis
>>,invis
finish editing,>>
