Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,create
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
calculate,>>
calculate,>>
finish editing,>>
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
restart editing,>>
save,save
calculate,calculate
>>,invis
finish pre-check,>>
finish editing,>>
restart editing,>>
finish editing,finish editing
>>,invis
>>,invis
