Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,create
begin editing,>>
finish editing,>>
begin editing,begin editing
>>,invis
>>,invis
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
finish editing,>>
begin editing,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
finish editing,finish editing
>>,invis
>>,invis
>>,invis
