Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,>>
create,>>
create,create
>>,invis
save,save
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
restart editing,>>
restart editing,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish editing,>>
restart editing,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish editing,>>
restart editing,>>
calculate,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish editing,>>
calculate,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish editing,>>
save,save
>>,invis
save,save
>>,invis
finish editing,>>
restart editing,>>
save,save
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,invis
