Log,Model
initialize,initialize
>>,invis
>>,restart editing
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
create,>>
insert document,insert document
>>,invis
>>,invis
>>,invis
>>,invis
save,save
calculate,>>
finish editing,>>
finish editing,finish editing
>>,invis
save,save
finish editing,>>
clear,>>
begin editing,>>
create,create
>>,invis
save,save
>>,invis
finish editing,>>
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
finish editing,>>
finish editing,>>
finish editing,>>
save,save
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,calculate
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
>>,invis
>>,invis
finish editing,>>
