Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
create,create
>>,invis
calculate,>>
calculate,>>
finish editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
calculate,>>
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,calculate
finish editing,finish editing
>>,invis
>>,invis
>>,invis
