Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,create
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
create,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
finish editing,>>
save,save
>>,invis
finish editing,>>
restart editing,>>
restart editing,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish editing,>>
restart editing,>>
save,save
>>,invis
calculate,>>
finish pre-check,>>
finish editing,>>
restart editing,>>
save,save
calculate,calculate
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
