Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,create
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
insert document,>>
save,save
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,calculate
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
save,save
>>,invis
>>,invis
>>,invis
calculate,>>
finish editing,>>
