Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,>>
create,create
>>,invis
save,save
>>,invis
calculate,>>
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
finish editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
finish editing,>>
restart editing,>>
save,save
calculate,calculate
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
