Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
create,create
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
finish editing,>>
finish editing,>>
calculate,>>
finish editing,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
finish editing,>>
begin editing,>>
calculate,calculate
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
>>,invis
>>,invis
finish editing,>>
