Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
create,create
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
save,save
calculate,calculate
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
>>,invis
>>,invis
calculate,>>
finish editing,>>
