Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,create
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
save,save
>>,invis
insert document,>>
save,save
>>,invis
save,save
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,calculate
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
finish editing,>>
restart editing,>>
save,save
finish editing,finish editing
>>,invis
>>,invis
>>,invis
