Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,>>
create,create
>>,invis
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
calculate,calculate
>>,invis
save,save
>>,invis
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
calculate,>>
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
calculate,>>
save,save
>>,invis
save,save
calculate,>>
calculate,>>
finish editing,>>
begin editing,>>
finish editing,finish editing
>>,invis
begin editing,>>
save,save
>>,invis
>>,invis
>>,invis
calculate,>>
finish editing,>>
