Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,>>
create,create
>>,invis
save,save
calculate,calculate
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
save,save
>>,invis
calculate,>>
save,save
>>,invis
save,save
calculate,>>
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
finish editing,>>
begin editing,>>
save,save
>>,invis
insert document,>>
save,save
finish editing,finish editing
>>,invis
>>,invis
>>,invis
