Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,>>
create,create
>>,invis
calculate,>>
calculate,>>
save,save
>>,invis
save,save
>>,invis
calculate,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
finish editing,>>
save,save
>>,invis
save,save
calculate,>>
finish editing,>>
calculate,>>
finish editing,finish editing
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
calculate,calculate
>>,invis
>>,invis
>>,invis
finish editing,>>
