Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
create,>>
create,create
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
restart editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
restart editing,>>
save,save
>>,invis
save,save
calculate,calculate
>>,invis
save,save
>>,invis
calculate,>>
save,save
calculate,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
>>,invis
>>,invis
