Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
create,create
>>,invis
calculate,>>
calculate,>>
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
save,save
>>,invis
finish editing,>>
begin editing,>>
finish editing,>>
begin editing,>>
insert document,>>
save,save
>>,invis
finish editing,>>
save,save
>>,invis
finish editing,>>
restart editing,>>
save,save
calculate,calculate
>>,invis
finish pre-check,>>
finish editing,finish editing
>>,invis
>>,invis
