Log,Model
initialize,initialize
>>,invis
>>,invis
begin editing,>>
finish editing,>>
create,>>
begin editing,>>
create,create
calculate,calculate
>>,invis
save,save
calculate,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
calculate,>>
finish editing,>>
save,save
>>,invis
save,save
calculate,>>
finish editing,>>
begin editing,begin editing
>>,invis
discard,>>
save,save
>>,invis
calculate,>>
finish editing,>>
begin editing,>>
save,save
>>,invis
calculate,>>
finish editing,>>
save,save
>>,invis
>>,invis
>>,invis
calculate,>>
finish editing,>>
