Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
check,>>
insert document,insert document
>>,invis
save,save
>>,invis
save,save
check,check
>>,invis
save,save
>>,invis
save,save
>>,invis
check,>>
check,>>
check,>>
save,save
check,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
>>,invis
check,>>
finish editing,finish editing
save,save
>>,invis
>>,invis
check,>>
check,>>
finish editing,finish editing
save,save
>>,invis
check,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
