Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
check,>>
finish editing,finish editing
insert document,insert document
>>,invis
>>,invis
save,save
finish editing,finish editing
>>,invis
save,save
>>,invis
>>,invis
finish editing,finish editing
save,save
>>,invis
>>,invis
finish editing,finish editing
check,check
>>,invis
finish editing,finish editing
save,save
>>,invis
>>,invis
check,>>
finish editing,finish editing
save,save
>>,invis
save,save
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
