Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,invis
save,save
insert document,insert document
>>,invis
save,save
>>,invis
save,save
check,check
>>,invis
save,save
finish editing,finish editing
>>,invis
>>,invis
check,>>
finish editing,finish editing
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
check,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
