Log,Model
initialize,initialize
insert document,>>
save,>>
begin editing,begin editing
>>,invis
>>,invis
>>,invis
save,save
>>,invis
save,save
>>,invis
check,>>
save,save
check,>>
check,>>
check,>>
check,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
check,check
>>,invis
>>,invis
finish editing,finish editing
insert document,insert document
save,save
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
