Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
insert document,insert document
>>,invis
save,save
check,>>
check,>>
finish editing,finish editing
>>,invis
save,save
>>,invis
>>,invis
finish editing,finish editing
>>,invis
finish editing,finish editing
save,save
>>,invis
>>,invis
finish editing,finish editing
check,check
>>,invis
finish editing,finish editing
save,save
>>,invis
>>,invis
finish editing,finish editing
save,save
>>,invis
finish editing,finish editing
>>,invis
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
