Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
>>,invis
save,save
>>,invis
save,save
>>,invis
insert document,>>
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
>>,invis
save,save
check,>>
check,>>
insert document,insert document
>>,invis
save,save
check,check
>>,invis
save,save
>>,invis
save,save
>>,invis
check,>>
remove document,>>
save,save
check,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
