Log,Model
initialize,initialize
begin editing,begin editing
>>,invis
>>,invis
check,>>
insert document,insert document
>>,invis
save,save
>>,invis
save,save
check,>>
finish editing,finish editing
>>,invis
save,save
check,>>
check,check
>>,invis
>>,invis
finish editing,finish editing
save,save
>>,invis
>>,invis
check,>>
finish editing,finish editing
save,save
>>,invis
>>,invis
finish editing,finish editing
save,save
>>,invis
save,save
>>,invis
check,>>
finish editing,finish editing
>>,invis
>>,invis
>>,invis
>>,invis
